tide_range,beam,beam_pair,lat,lon,repeat_cycles_no,track
1.763435405,l,1,-76.47452616,-147.8407075,5,586
1.762310905,pair,2,-84.58253283,-168.9827721,6,557
1.761218898,r,2,-83.4714402,-160.6865006,6,526
1.759623589,pair,2,-81.02335823,-154.4137443,5,556
1.759598041,pair,3,-84.58715006,-168.6167549,6,557
1.757558789,l,2,-84.65918509,-161.9094267,4,953
1.757269844,l,2,-82.32343572,163.2670628,4,817
1.757045625,r,2,-81.02395384,-154.4100687,5,556
1.75699338,r,2,-84.43203794,-172.9762298,3,1066
1.756674673,r,1,-84.49719848,-165.3691081,4,14
1.756311594,l,2,-84.43334413,-172.9720422,3,1066
1.755185137,pair,3,-79.8981052,-160.335246,4,380
1.754959121,pair,2,-84.5454929,-164.7294576,5,1136
1.754223458,l,2,-80.0518628,-150.3138158,4,129
1.753583437,l,3,-85.27790522,-159.4341188,6,572
1.751625668,r,1,-81.31082554,-159.0910847,4,1081
1.750820656,pair,3,-81.13486835,-158.7112016,6,922
1.749551347,r,1,-84.32043284,-164.6608631,6,572
1.749353317,l,2,-83.20336456,-167.9080983,4,60
1.749272415,l,3,-84.34025542,-176.8249053,2,1371
1.748130587,r,2,-84.06749999,177.860392,2,969
1.74704513,l,2,-84.56005004,-164.4019617,5,1279
1.746910316,r,1,-81.17016786,-159.057742,6,922
1.746267897,l,1,-85.31752491,-153.2788954,5,968
1.745443285,pair,3,-77.33515914,-151.281216,2,334
1.744236752,r,3,-84.52561186,-164.6084377,5,1279
1.74394395,pair,2,-83.34078713,-163.869961,5,639
1.742392876,r,2,-82.32301605,163.5248218,5,610
1.742235241,pair,1,-83.47521002,-160.9596927,6,526
1.741619036,pair,2,-84.6580315,-161.9089636,4,953
1.741092271,pair,3,-79.86078466,-162.8855737,4,121
1.740601865,pair,3,-81.11296353,-157.8815717,4,517
1.738279996,l,2,-85.26801356,-158.8606685,5,953
1.737177478,r,3,-85.18050836,-153.2360394,4,968
1.736118285,l,1,-82.837731,-162.8349155,3,1142
1.735703285,pair,3,-83.98983038,-165.2346387,6,572
1.735443451,l,1,-80.79317302,-148.9488298,4,349
1.735093431,l,2,-76.02529879,-147.5002769,3,83
1.733777992,l,1,-83.99277206,-164.8055755,4,953
1.732573457,pair,2,-83.14497714,-163.3421931,5,639
1.732415637,r,3,-79.89749532,-160.3368938,4,380
1.731308752,l,3,-83.16939859,-165.6719085,5,1334
1.730686505,pair,3,-85.32221661,-152.4256115,5,968
1.728771789,r,3,-82.81129593,-163.0242465,4,197
1.72525613,l,2,-85.02918118,-161.6451377,3,1355
1.722995445,r,2,-80.47862029,-151.0418416,5,532
1.720982869,pair,3,-85.27091357,-158.6908104,5,511
1.720835619,r,3,-84.00089376,-165.1915942,6,572
1.719243416,r,2,-84.56038228,-164.4130937,5,1279
1.718381556,l,1,-80.53329723,-150.3868129,6,632
1.716170829,r,3,-84.65922581,-162.5847936,6,572
1.716021297,r,2,-84.58289822,-168.9764919,6,557
1.714439814,pair,1,-76.47305289,-147.8399739,5,586
1.714255534,pair,2,-80.78400691,-149.1320556,4,349
1.71401985,l,1,-81.51308861,-163.5735833,5,944
1.713363521,r,2,-84.64342873,-163.0060209,6,572
1.712454239,l,2,-80.58269449,-149.8701538,5,1074
1.711432709,r,1,-77.39152466,-150.7854515,3,1333
1.711078963,r,1,-78.29321387,166.1189322,3,146
1.710963163,r,3,-79.6530033,-149.9123016,3,974
1.710479712,pair,1,-83.31294015,168.6937011,6,503
1.710444332,pair,2,-81.14395542,-158.8992582,6,922
1.710022257,pair,2,-80.47089471,-151.0285828,5,532
1.709887376,pair,2,-83.86453145,-165.9630512,6,572
1.708078922,pair,2,-84.43269124,-172.9741311,3,1066
1.706039401,pair,2,-85.03652275,-161.6871943,3,1355
1.70440273,l,1,-85.28111887,-158.9310934,4,8
1.703630826,l,2,-80.79503661,-149.1453993,4,349
1.702240456,pair,3,-83.92801842,176.114562,6,655
1.701887968,pair,2,-83.47545348,-160.6784477,6,526
1.701461415,pair,1,-83.1905203,-162.5148793,5,587
1.701122661,r,3,-83.02493758,-156.542802,4,1035
1.700860534,r,2,-84.32551355,-164.3139493,6,572
1.700565731,pair,3,-85.18472812,-153.2180105,4,968
1.700445905,r,2,-79.66949204,-155.473247,4,959
1.700234136,r,1,-83.16182758,-163.1239104,5,639
1.698877382,pair,2,-83.29195689,-163.2705467,4,1151
1.69764729,r,2,-81.1220881,-152.1814436,6,1318
1.697318261,r,1,-81.00209968,-154.1225927,3,53
1.696699812,pair,3,-84.52577514,-164.6044271,5,1279
1.696262706,l,1,-79.88847704,-155.553618,4,959
1.696016011,pair,2,-79.66975324,-155.4711415,4,959
1.694225299,r,3,-84.34044869,-176.8347954,2,1371
1.693283931,l,1,-85.16459114,-152.3097034,6,1288
1.692851244,l,3,-83.02736255,-155.9272234,4,541
1.691910625,r,3,-83.02660102,-155.9219112,4,541
1.69113796,l,3,-83.42527563,-161.3269457,5,587
1.690068679,pair,1,-80.06924111,-149.6899318,4,68
1.689026207,r,2,-77.27230464,-147.4576386,4,974
1.688508919,pair,3,-83.42514358,-161.3234737,5,587
1.688101145,l,1,-77.39254661,-150.7885465,3,1333
1.686928792,r,2,-83.29131993,-163.2685206,4,1151
1.686517764,r,3,-83.17290844,-162.0233515,5,587
1.685176826,pair,1,-81.19420569,-159.5414408,2,38
1.68510318,r,1,-83.58796501,-169.7565066,4,1066
1.684568765,l,2,-83.29293854,-163.2717856,4,1151
1.684428387,l,2,-84.00041138,-164.7317783,6,511
1.68420668,l,3,-80.83393165,-149.0558965,3,129
1.68399947,pair,1,-77.39194776,-150.787067,3,1333
1.682739493,l,1,-85.00834979,-150.7823927,5,1105
1.682333416,r,1,-85.31846393,-160.005579,6,572
1.682290771,pair,3,-83.88311452,-165.6003318,6,572
1.682239411,pair,3,-79.65378801,-149.9108361,3,974
1.680650009,l,2,-80.47151101,-151.0267566,5,532
1.68051731,l,3,-84.5259384,-164.6004163,5,1279
1.679958772,r,1,-80.06915062,-149.6874856,4,68
1.679746253,r,2,-79.82565504,-148.5107639,2,891
1.678838923,r,3,-82.85389238,-162.3224341,3,84
1.677306099,pair,2,-83.1857484,-162.2601264,5,587
1.677021278,pair,1,-83.29989859,-163.4849246,5,639
1.676885687,r,2,-83.13294858,-163.3144034,5,639
1.675941504,pair,3,-83.17303516,-162.0266889,5,587
1.673908038,l,1,-83.31074694,-163.4950214,4,1151
1.672577322,r,2,-79.21615318,-151.8003473,6,632
1.672549113,pair,1,-80.79307918,-148.9513836,4,349
1.672309469,pair,3,-82.29488454,162.574139,3,671
1.670775162,l,3,-80.60698714,-149.6460571,6,1074
1.670718209,pair,3,-85.28855026,-159.8847365,3,1075
1.669970146,pair,1,-77.62283567,-150.6004515,3,1333
1.66806245,l,3,-85.26832635,-158.4521647,5,953
1.666834098,pair,1,-85.28127214,-158.9246713,5,8
1.666556954,pair,2,-84.32499829,-164.3204935,6,572
1.665841016,l,3,-83.17316186,-162.0300264,5,587
1.66528063,pair,2,-81.12080191,-152.1862756,6,1318
1.663113998,l,1,-79.86094656,-155.780605,3,517
1.662698867,pair,1,-83.8194327,174.384798,5,1152
1.66244509,r,2,-80.79467095,-149.1502956,4,349
1.66154932,l,2,-84.7498433,-164.8760152,4,755
1.661072067,pair,1,-83.67149298,-169.2030403,4,755
1.657754438,pair,1,-79.67875522,-149.5954762,3,974
1.657357349,pair,3,-83.02689687,-155.9247878,4,541
1.656627518,l,1,-80.06950577,-149.6921603,4,68
1.656074575,l,2,-83.18485358,-162.2661722,5,587
1.65468866,r,3,-80.49925224,-150.5714506,3,1135
1.654084035,l,1,-84.77278834,-165.1306087,5,755
1.653491005,l,2,-77.27210067,-147.4535283,4,974
