beam,beam_pair,lat,lon,repeat_cycles_no,track
l,3,-69.13484574,69.46365723,4,20
l,2,-69.89684577,73.17569232,2,1102
r,2,-69.99724973,67.68392383,4,142
r,1,-69.70588556,69.17514937,4,965
l,2,-70.19487646,67.63433477,5,1034
r,2,-71.84706788,70.62837224,4,851
r,1,-70.41850064,68.65717276,4,523
r,1,-70.5172797,71.73587012,5,279
l,1,-69.34245311,69.30378527,5,965
r,1,-70.5472344,72.08908891,3,226
l,3,-70.58301936,71.79057423,3,721
l,1,-70.83183363,68.2433477,4,81
l,1,-71.41782524,70.86804549,6,782
l,1,-69.75801359,68.94451405,5,912
r,1,-68.57967986,69.81512782,4,20
r,1,-69.14230062,69.36945926,4,965
r,1,-68.96073919,69.68990433,5,20
r,1,-71.30597382,71.34659882,6,1232
l,1,-72.29603927,69.68282004,5,470
l,2,-71.5074257,71.25500288,5,279
r,1,-69.84358778,75.20541544,3,424
r,2,-71.8238296,70.60023123,5,782
r,2,-73.29665481,67.07152673,4,81
r,2,-70.41864818,67.7873101,5,584
